timetamp,iopv,time,date,iopv_lag
52:00.0,3.859,52:00.0,4/21/2020,3.857
52:15.0,3.858,52:15.0,4/21/2020,3.859
53:00.0,3.857,53:00.0,4/21/2020,3.858
53:30.0,3.856,10:53:30,4/21/2020,3.857
54:03.0,3.857,54:03.0,4/21/2020,3.856
55:48.0,3.858,10:55:48,4/21/2020,3.857
56:03.0,3.857,56:03.0,4/21/2020,3.858
56:18.0,3.858,56:18.0,4/21/2020,3.857
56:33.0,3.857,56:33.0,4/21/2020,3.858
57:33.0,3.856,10:57:33,4/21/2020,3.857
58:18.0,3.857,10:58:18,4/21/2020,3.856
58:33.0,3.856,10:58:33,4/21/2020,3.857
